index,headline,source_url,publish_date,publisher
0,Is It Still Safe To Go Swimming With The Novel Coronavirus Outbreak? How About Other Activities? We Ask A Doctor,https://www.todayonline.com/8days/liveandlearn/vanityandhealth/it-still-safe-go-swimming-novel-coronavirus-outbreak-how-about,11-02-2020,Today Online
1,Chinese boy with cerebral palsy dies a week after father taken into novel coronavirus quarantine,https://www.todayonline.com/china-boy-cerebral-palsy-die-father-wuhan-coronavirus-quarantine,04-02-2020,Today Online
2,The global politics of the coronavirus,https://www.todayonline.com/commentary/global-politics-coronavirus,11-02-2020,Today Online
3,Managing our fear of the Wuhan virus,https://www.todayonline.com/commentary/managing-our-fear-wuhan-virus,30-01-2020,Today Online
4,China’s place in world economy means novel coronavirus will hit global growth,https://www.todayonline.com/commentary/novel-wuhan-coronavirus-china-global-growth,03-02-2020,Today Online
5,What will be the economic impact of the Wuhan virus? It depends on how fear spreads,https://www.todayonline.com/commentary/what-will-be-economic-impact-wuhan-virus-it-depends-how-fear-spreads,30-01-2020,Today Online
6,"When fake news, censorship make it harder to tackle a coronavirus",https://www.todayonline.com/commentary/when-fake-news-censorship-make-it-harder-tackle-coronavirus,05-02-2020,Today Online
7,Coronavirus crisis shows shortcomings of governance in China,https://www.todayonline.com/commentary/wuhan-coronavirus-crisis-shows-shortcomings-governance-china,06-02-2020,Today Online
8,To die or to go broke? That’s the risk businesses in China are weighing amid novel coronavirus,https://www.todayonline.com/commentary/wuhan-coronavirus-its-not-business-usual-china,07-02-2020,Today Online
9,Coronavirus outbreak shows the US and China are sailing in the same boat and share similar national security concerns,https://www.todayonline.com/commentary/wuhan-coronavirus-shows-us-china-sailing-same-boat-share-national-security,04-02-2020,Today Online
10,The novel coronavirus outbreak raises the spectre of Sars,https://www.todayonline.com/commentary/wuhan-novel-coronavirus-outbreak-spectre-sars,03-02-2020,Today Online
11," Singapore confident, supportive of China’s handling of Wuhan coronavirus outbreak: Shanmugam ",https://www.todayonline.com/singapore-confident-supportive-chinas-handling-wuhan-coronavirus-outbreak-shanmugam,02-02-2020,Today Online
12,"140 S’poreans still in Wuhan, 4 not evacuated earlier due to symptoms, hospitalisation: Lawrence Wong",https://www.todayonline.com/singapore/140-sporeans-still-wuhan-coronavirus-4-unable-board,03-02-2020,Today Online
13,"3 new cases of Covid-19 in Singapore, with 2 more clusters identified ",https://www.todayonline.com/singapore/3-new-cases-covid-19-singapore-2-more-clusters-identified,12-02-2020,Today Online
14,Up to 40 per cent fall in taxi and private hire driver earnings as novel coronavirus keeps passengers away,https://www.todayonline.com/singapore/40-cent-fall-taxi-and-private-hire-driver-earnings-novel-wuhan-coronavirus-keeps-passengers-away,10-02-2020,Today Online
15,4th confirmed case of Wuhan virus in Singapore: MOH,https://www.todayonline.com/singapore/4th-confirmed-case-wuhan-virus-singapore-moh,26-01-2020,Today Online
16,"4th Wuhan virus case: Village Hotel Sentosa staff sent to hospital, rooms which man, family stayed in blocked off",https://www.todayonline.com/singapore/4th-confirmed-wuhan-case-staff-village-hotel-sentosa-sent-hospital-room-guest-stayed,26-01-2020,Today Online
17,5 Singaporeans on board quarantined cruise ship off Japan ‘physically well’: MFA,https://www.todayonline.com/singapore/5-singaporeans-board-quarantined-wuhan-coronavirus-cruise-ship-japan-physically-well-mfa,07-02-2020,Today Online
18,"Chinese movie releases delayed worldwide, including in S'pore, due to Wuhan virus",https://www.todayonline.com/singapore/7-chinese-movie-releases-including-jackie-chans-vanguard-delayed-worldwide-due-wuhan-virus,24-01-2020,Today Online
19,"7 new coronavirus cases in S'pore, including taxi and private hire drivers; possible cluster at Paya Lebar church identified",https://www.todayonline.com/singapore/7-new-wuhan-coronavirus-cases-singapore-taxi-private-hire-drivers-paya-lebar-church-cluster,08-02-2020,Today Online
20,92 Singaporeans return home from Wuhan; 'some' who show symptoms of virus remain behind ,https://www.todayonline.com/singapore/92-singaporeans-return-wuhan-jan-30-mfa,30-01-2020,Today Online
21,"Singapore has to be ready for community spread, mutation of coronavirus: Gan Kim Yong",https://www.todayonline.com/singapore/Singapore-ready-community-spread-mutation-Wuhan-coronavirus-Gan-Kim-Yong,03-02-2020,Today Online
22,Govt steps up leave of absence regime for all workers returning to S’pore from China,https://www.todayonline.com/singapore/all-workers-returning-spore-china-serve-mandatory-14-day-leave-absence-lawrence-wong,06-02-2020,Today Online
23,"Anxiety, confusion, rush for masks: How the Wuhan coronavirus makes people panicky and how to stay calm",https://www.todayonline.com/singapore/anxiety-confusion-rush-masks-how-wuhan-coronavirus-makes-people-panicky-and-how-stay-calm,01-02-2020,Today Online
24,"Avoid travel to Wuhan, says MOH amid Wuhan’s citywide lockdown",https://www.todayonline.com/singapore/avoid-travel-wuhan-says-moh-amid-wuhans-citywide-lockdown,23-01-2020,Today Online
25,"Ban on new visitors who have been to China is to protect S'pore's public health, anti-China sentiment unhelpful: PM Lee",https://www.todayonline.com/singapore/ban-new-visitors-who-have-been-china-protect-spores-public-health-anti-china-sentiment,01-02-2020,Today Online
26,The Big Read in short: Fighting the Wuhan coronavirus with lessons from Sars crisis,https://www.todayonline.com/singapore/big-read-short-fighting-wuhan-coronavirus-lessons-sars-crisis,01-02-2020,Today Online
27,Businesses see slowdown of 20% to 50% due to coronavirus outbreak: Ng Chee Meng,https://www.todayonline.com/singapore/businesses-see-slowdown-20-50-due-wuhan-coronavirus-outbreak-ng-chee-meng,05-02-2020,Today Online
28,China air force cleared for Singapore Airshow amid virus concerns,https://www.todayonline.com/singapore/china-air-force-cleared-singapore-airshow-amid-virus-concerns,05-02-2020,Today Online
29,"Chinatown quieter this CNY amid Wuhan virus scare, but shopkeepers say business has been dwindling",https://www.todayonline.com/singapore/chinatown-quieter-year-shopkeepers-say-business-dwindling,25-01-2020,Today Online
30,"Chinese New Year event organisers, religious authorities announce measures against Wuhan virus",https://www.todayonline.com/singapore/chinese-new-year-event-organisers-religious-authorities-announce-measures-against-wuhan,25-01-2020,Today Online
31,"Chingay Parade, Singapore Airshow to continue with added precautions against Wuhan virus",https://www.todayonline.com/singapore/chingay-parade-singapore-airshow-continue-added-precautions-against-wuhan-virus,30-01-2020,Today Online
32,CID officers helped MOH identify coronavirus cluster at Paya Lebar church as police get involved in contact tracing  ,https://www.todayonline.com/singapore/cid-officers-helped-moh-identify-wuhan-coronavirus-cluster-paya-lebar-church-police-get-involved,11-02-2020,Today Online
33,CNA debunks fake tweet announcing school closure due to coronavirus outbreak,https://www.todayonline.com/singapore/cna-debunks-fake-tweet-announcing-school-closure-due-coronavirus-outbreak,07-02-2020,Today Online
34,"Covid-19 outbreak: Government to put up fund, online site for public to support healthcare workers, the vulnerable",https://www.todayonline.com/singapore/covid-19-wuhan-coronavirus-outbreak-government-put-fund-online-site-public-support-healthcare-workers,13-02-2020,Today Online
35,"Despite MOM’s advisory, some employers don’t intend to keep their domestic workers at home",https://www.todayonline.com/singapore/despite-moms-advisory-some-employers-dont-intend-keep-their-domestic-workers-home,11-02-2020,Today Online
36,'This is different now': Doctor who treated first Sars patient says S'pore is better prepared for Wuhan coronavirus,https://www.todayonline.com/singapore/doctor-who-treated-first-sars-patient-says-singapore-better-prepared-wuhan-coronavirus,01-02-2020,Today Online
37,‘Don’t say I’m from Wuhan’: Community in S’pore keeps low profile as coronavirus wrecks hometown,https://www.todayonline.com/singapore/dont-say-im-wuhan-community-spore-keeps-low-profile-coronavirus-wrecks-hometown,02-02-2020,Today Online
38,"15 exhibitors pull out of S'pore Airshow, summit cancelled to ‘allow aviation leaders to deal with coronavirus situation’: Organisers",https://www.todayonline.com/singapore/exhibitors-pull-out-singapore-airshow-aviation-leadership-summit-cancelled-wuhan-coronavirus,04-02-2020,Today Online
39,Explainer: What WHO’s declaration of Wuhan coronavirus as a global emergency means for the man in the street,https://www.todayonline.com/singapore/explainer-how-does-whos-declaration-wuhan-coronavirus-global-emergency-affect-singapore,31-01-2020,Today Online
40,Explainer: What we know so far about the Wuhan virus outbreak,https://www.todayonline.com/singapore/explainer-what-we-know-so-far-about-wuhan-virus-outbreak,20-01-2020,Today Online
41,Explainer: Why some Covid-19 patients visit the doctor twice or thrice before they receive a diagnosis,https://www.todayonline.com/singapore/explainer-why-some-covid-19-patients-visit-doctor-twice-or-thrice-they-receive-diagnosis,12-02-2020,Today Online
42,First day of free mask distribution sees orderly proceedings and minimal queues,https://www.todayonline.com/singapore/first-day-free-mask-distribution-sees-orderly-proceedings-and-minimal-queues,01-02-2020,Today Online
43,Government donates S$1 million to Singapore Red Cross to aid communities in China stricken by coronavirus,https://www.todayonline.com/singapore/government-donates-s1-million-singapore-red-cross-aid-communities-china-stricken,05-02-2020,Today Online
44,"Govt to speed up transport projects, roll out ‘strong’ Budget package, as aviation sector hurt by coronavirus: Khaw",https://www.todayonline.com/singapore/government-speed-transport-projects-strong-budget-package-aviation-sector-hurt-wuhan-coronavirus,06-02-2020,Today Online
45,Govt to distribute masks to all 1.37 million Singapore households amid Wuhan virus outbreak,https://www.todayonline.com/singapore/govt-distribute-masks-all-137-million-singaporean-households-amid-wuhan-virus-outbreak,30-01-2020,Today Online
46,Heroes Unmasked: Love in the time of Covid-19 – volunteers to ‘sayang’ healthcare workers on Valentine’s Day,https://www.todayonline.com/singapore/heroes-unmasked-love-time-covid-19-volunteers-sayang-healthcare-workers-valentines-day,12-02-2020,Today Online
47,"Hoarding, panic buying of masks will wreck Singapore's efforts to fight spread of Wuhan virus: Chan Chun Sing",https://www.todayonline.com/singapore/hoarding-panic-buying-will-destroy-singapores-system-fight-spread-wuhan-virus-chan-chun,30-01-2020,Today Online
48,"To limit false reports on Wuhan virus, Pofma exemptions no longer apply for online channels: MCI",https://www.todayonline.com/singapore/limit-false-reports-wuhan-virus-Pofma-exemptions-no-longer-apply-online-channels,30-01-2020,Today Online
49,"Man arrested after attacking police, auxiliary officers at Sengkang General Hospital",https://www.todayonline.com/singapore/man-arrested-after-attacking-police-auxiliary-officers-sengkang-general-hospital,12-02-2020,Today Online
50,‘Misunderstanding’ of Dorscon Orange risk level may have led to panic buying: Lawrence Wong,https://www.todayonline.com/singapore/misunderstanding-dorscon-orange-risk-level-may-have-led-panic-buying-lawrence-wong,12-02-2020,Today Online
51,"MOH, MTI issue correction directions over posts about Wuhan coronavirus transmissions, supply of face masks",https://www.todayonline.com/singapore/moh-mti-issue-correction-directions-over-posts-about-wuhan-coronavirus-transmissions,31-01-2020,Today Online
52,Novel coronavirus: MOM cancels work passes and employers' work pass privileges after leave of absence breached,https://www.todayonline.com/singapore/mom-cancels-work-passes-and-employers-work-pass-privileges-after-leave-absence-breached,09-02-2020,Today Online
53,"More than 100 people attended meeting at Grand Hyatt Singapore linked to Malaysia, South Korea cases",https://www.todayonline.com/singapore/more-100-people-attended-meeting-grand-hyatt-singapore-linked-malaysia-south-korea-cases,06-02-2020,Today Online
54,"  More than 500 quarantined due to coronavirus, ugly behaviour towards them ‘irresponsible’: Lawrence Wong",https://www.todayonline.com/singapore/more-500-quarantined-due-wuhan-coronavirus-ugly-behaviour-towards-them-irresponsible-lawrence,03-02-2020,Today Online
55,Muslims who are feeling unwell need not attend Friday prayers: Muis,https://www.todayonline.com/singapore/muslims-who-are-feeling-unwell-need-not-attend-friday-prayers-muis,30-01-2020,Today Online
56,"No new cases of Wuhan coronavirus in Singapore as of 2pm on Feb 2, contact tracing for confirmed cases ongoing: MOH",https://www.todayonline.com/singapore/no-new-cases-wuhan-coronavirus-singapore-contact-tracing-confirmed-cases-ongoing-moh,02-02-2020,Today Online
57,"No new cases of Wuhan virus in Singapore, 64 suspected cases as of Jan 25 midday: MOH",https://www.todayonline.com/singapore/no-new-cases-wuhan-virus-singapore-64-suspected-cases-so-far-moh,25-01-2020,Today Online
58,No new cases of Wuhan virus in Singapore; 92 suspect cases in total as of Jan 26 noon,https://www.todayonline.com/singapore/no-new-cases-wuhan-virus-singapore-92-suspect-cases-total-jan-26-noon,26-01-2020,Today Online
59,No new confirmed cases of novel coronavirus in Singapore for a second day: MOH,https://www.todayonline.com/singapore/no-new-confirmed-cases-wuhan-novel-coronavirus-singapore-second-day-moh,03-02-2020,Today Online
60,No plans to cancel SAF in-camp training amid coronavirus concerns: Heng Chee How,https://www.todayonline.com/singapore/no-plans-cancel-saf-camp-training-amid-coronavirus-concerns-heng-chee-how,11-02-2020,Today Online
